"","Gene","Trend","pvalue"
"1","CD274",0.028,0.51
"2","CD28",-0.014,0.733
"3","CD80",-0.015,0.679
"4","CD86",0.006,0.927
"5","CIITA",0.058,0.209
"6","CTLA4",0.102,0.088
"7","HAVCR2",0.061,0.066
"8","HLA-DMA",0.077,0.204
"9","HLA-DOA",0.01,0.811
"10","HLA-DOB",0.021,0.622
"11","HLA-DPB1",0.099,0.321
"12","HLA-DRB1",0.15,0.187
"13","LAG3",0.011,0.813
"14","LGALS1",0.034,0.724
"15","LGALS3",-0.018,0.785
"16","LGALS4",-0.022,0.685
"17","PDCD1",-0.014,0.797
"18","PDCD1LG2",0.005,0.923
"19","PVR",0.022,0.466
"20","TIGIT",0.047,0.34
"21","TNFRSF18",0.047,0.149
"22","TNFRSF9",0.019,0.725
"23","TNFSF18",-0.087,0.053
"24","TNFSF9",-0.066,0.076
